"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"AVACPUS","198502","19.857","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198503","25.806","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198504","31.306","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198505","28.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198506","28.391","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198507","34.613","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198508","35.065","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198509","29.333","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198510","26.903","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198511","19.8","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198512","25.871","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198513","27.312","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198601","20.194","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198602","21","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198603","28.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198604","33.1","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198605","35","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198606","35.467","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198607","35.613","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198608","38.323","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198609","62.2","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198610","27.968","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198611","22.967","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198612","23.258","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198613","31.981","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198701","19.484","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198702","21.643","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198703","25.71","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198704","27","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198705","30.129","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198706","29.2","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198707","29.032","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198708","30.194","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198709","24.733","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198710","25.065","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198711","18.367","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198712","16.387","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198713","24.77","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198801","23.226","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198802","21.931","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198803","25.871","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198804","24.5","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198805","33.419","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198806","32.367","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198807","33.258","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198808","28.419","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198809","28.2","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198810","25.29","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198811","20.867","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198812","20.548","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198813","26.516","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198901","22.935","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198902","16.357","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198903","25.387","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198904","30.333","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198905","26.935","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198906","25.533","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198907","29.032","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198908","39.645","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198909","26.8","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198910","21.355","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198911","27.133","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198912","17.774","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198913","25.827","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199001","19.129","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199002","23.036","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199003","25.161","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199004","22.733","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199005","25.806","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199006","31.067","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199007","31.548","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199008","31.097","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199009","24.2","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199010","22.29","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","199011","19.867","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
